position,direction,experience,salary,location,skills,company,RU,ENG,text,date
NodeJS Mentor,Other,1-3 years,from 3000000 to 7000000 UZS,Ferghana region,"NodeJS, JavaScript, Express.js, Nest.js, PostgreSQL, MongoDB",Najot Ta'lim,False,False,"""Najot Ta'lim"" markazi Farg'ona filiali uchun ""NodeJS"" yo'nalishi bo'yicha mentor izlamoqda! 

Part time, moslashuvchan jadval.
Maosh: 3 mln so'mdan  7 mln so'mgacha

Majburiyat:
- Soha bo'yicha ta'lim berish.

Talablar:
- NodeJS da eng kamida 2 yillik tajriba;
- JavaScript dasturlash tilini yuqori darajada bilish;
- Express.js, Nest.js da amaliy ish tajribasi;
- Database (PostgreSQL, MongoDB) ni yaxshi bilish;
- O'zbek tilida erkin muloqot qila olish.

Biz sizga taklif qilamiz:
- Kitob sotib olish uchun chegirmalar;
- Qarindoshlaringizni IT sohalarida o'qitish uchun chegirma;
- 300 dan ortiq mutaxassislar bilan networking;
- Pedagogik ko'nikmalarni oshirish uchun treninglar;
- Turli mavzularda maxsus master-classlar;
- Samaradorlikka ko'ra oylik maoshning oshishi;
- Kuchli, ahil jamoa!

Ariza yuborish: Havola",2024-10-11 05:09:57+00:00
QA Engineer,QA,3 years >,not specified,not specified,not specified,Najot Ta'lim,False,False,"""Najot Ta'lim"" markazi Middle+/Senior QA Engineer (Mentor) mutaxassislarni  qidirmoqda

Talablar:

— Middle+ yoki Senior darajada QA muhandisi sifatida 3+ yillik tajriba;
— Dasturlash tillaridan birida ishlay olish (masalan, Java, Python);
— Kodni tahlil qilish, test ssenariylarini yaratish va avtomatlashtirilgan testlarni o'tkazishda amaliy ko’nikmaga ega bo’lish;
— Test jarayonlarini optimallashtirish va sifat nazoratining eng yaxshi amaliyotlarini o'rgatish;

Afzalliklar:

— Mentorlik va treninglar o'tkazishda tajriba. 
— ISTQB sertifikati mavjudligi.
— QA avtomatizatsiya vositalarini qo'llash bo'yicha tajriba.

Biz taklif qilamiz:
— Kitob sotib olish uchun chegirmalar;
— Qarindoshlaringizni IT sohalarida o'qitish uchun chegirma;
— 300 dan ortiq mutaxassislar bilan networking;
— Pedagogik ko'nikmalarni oshirish uchun treninglar;
— Turli mavzularda maxsus master-classlar;
— Samaradorlikka ko'ra oylik maoshning oshishi;
— Kuchli, ahil jamoa!

Rezume uchun havola",2024-10-24 08:03:21+00:00
Call Center Operator,Other,1-3 years,from 3000000 to 6000000 UZS,not specified,"Word, Excel, PowerPoint",RealSoft,True,False,"""RealSoft"" IT kompaniyasi 1 yil va undan yuqori tajribaga ega Call-markaz operatorlarini ishga taklif qiladi.

Ish vaqti: 09.00-18.00 Dushanba - Juma 
Ish tajribasi: 1-3 yil 
Maosh: 3 000 000 - 6 000 000 so’m 

Xodimga qo’yiladigan vazifalar: 
Aniq va ravon nutq;
O’zbek va rus tillarida erkin so’zlashish;
Word, Excel, PowerPoint kabi dasturlarida ishlay olish; 
Mijozlar bilan samimiy muloqotga kirishish; 
Stressga chidamlilik.

Xodimga qo’yiladigan talablar:
Yuzaga kelgan masalalar bo’yicha mijozlarga maslahat berish; 
Ariza va shikoyatlarni qabul qilish; 

Xodimga qo’yiladigan shartlar:
Ko'plab foydali bilim va ko'nikmalarni egallash;
Dasturchi sifatida IT sohasidagi professional karyerani o'stirish; 
O'zbekiston Respublikasi mehnat kodeksiga muvofiq rasmiy ishga joylashish;

Murojaat uchun telefon: 
+998 99 255 84 84 
+998 91 770 08 07           

“RealSoft” kompaniyasining ahil jamoasiga qo’shilish imkoniyatini boy bermang!",2024-12-05 11:46:49+00:00
DevOps Engineer,DevOps,3 years >,from 3500 to 3500 USD,remote,"Docker, RabbitMQ, ELK stack, Redis, Prometheus, PostgreSQL, Nginx, Jenkins",EdTech,False,False,"#DevOps #вакансия 

DevOps (SRE)

Формат: удаленно (из Узбекистана)
Зарплата: от 3500$ + релокационный пакет

Глобал EdTech с миллионами пользователей в поиске DevOps Engineer для решения сложных инфраструктурных задач.

Чем предстоит заниматься:
- Обеспечение стабильной работы продуктивной площадки проекта;
- Развитие инструментов мониторинга и алертинга;
- Автоматизация регулярных операционных действий;
- Поддержка и сопровождение релизов;
- Участие в разборе инцидентов, разработка мер по недопущению аварийных ситуаций;
- Работа со стэком Windows/Linux.

Что ждем от кандидата:
- Опыт работы на аналогичной должности от 3 лет;
- Понимание принципов устройства контейнеров на базе Docker;
- Понимание принципов построения отказоустойчивых высоконагруженных систем;
- Владение bash и/или python;
- Опыт настройки и эксплуатации RabbitMQ + high availability mode, ELK stack, Redis, Prometheus, PostgreSQL;
- Отличные знания nginx;
- Понимание принципов CI/CD;
- Практический опыт применения jenkins;
- Опыт использования оркестраторов (nomad/kubernetes/opeshift), опыт применения powershell (windows, linux) будут плюсом.

Резюме присылать: @mari_haas",2024-12-05 04:26:27+00:00
Lead SRE,DevOps,not specified,from 5000 to 5000 USD,remote,"Debian-like Linux, Windows, IIS, Nginx, Redis, Zabbix, NAT, iptables",not specified,False,False,"#DevOps #вакансия 

Lead SRE
Зп: от 5000$ 

Глобальный EdTech продукт для школ и организаций с миллионами пользователей, позволяющий вести образовательную деятельность в облачном решении, в поиске Lead SRE.

Мы ищем человека, который возглавит сопровождение продуктов компании, будет плотно работать с разработкой, развивать внутренние процессы и архитектуру сложных систем.

Основные обязанности:
- Обеспечение высокой доступности продуктов компании: высоконагруженных интернет-решений
- Разработка и реализация IT-стратегии и операционного плана компании в части инфраструктуры для собственных продуктов и внутренних сервисов
- Планирование и организация работы IT-подразделения: системные инженеры и администраторы
- Развитие и оптимизация внутренних процессов, регламентов, систем мониторинга и обеспечения работоспособности систем IT-подразделения
- Развитие и совершенствование систем мониторинга
- Работа вместе с командами разработки в части планирования архитектурных изменений, выпуска новых версий продуктов и др
- Управление закупками оборудования и ПО, взаимодействие с контрагентами и вендорами
- Соблюдение норм регуляторов РУз

Требования:
- Опыт работы руководителем подразделения DevOps/SRE инженеров
- Опыт работы с нагруженными веб-решениями с режимом работы 24х7х365
- Знание и личный опыт применения современных DevOps/SRE подходов организации эксплуатации и развития IT-инфраструктуры
- Готовность совмещать управление и работу руками
- Глубокое понимание Debian-like Linux 9-11, Windows 20012r2-2019, IIS, nginx, redis, систем мониторинга Zabbix, сетевых технологий (маршрутизация, NAT, iptables), уровня CCNA
- Опыт с системами виртуализации Proxmox и серверным оборудованием будет плюсом
- Высокий уровень ответственности и самоорганизации, отличные управленческие и коммуникативные навыки

Что предлагаем:
- Работу над амбициозными и интересными проектами
- Возможность профессионального роста
- Удаленную работу (из Узбекистана)
- Оформление по ТК РУз, «белую» заработную плату
- Релокационный пакет


Резюме присылать: @viktoria_kolina",2024-12-03 10:26:34+00:00
Flutter Developer,Other,1-3 years,from 800 to 1600 USD,Samarkand region,"Dart, Firebase, REST, GraphQL, gRPC, BLoC, Provider, CI/CD",Revolution Global,False,True,"#Flutter Developer

Revolution Global is hiring a Middle/Senior Flutter developer!

Salary Offered: $800 - $1600

About the Company:
Revolution Global has been active in the fintech and e-commerce sectors for several years, delivering numerous successful projects.

Requirements:
- At least 2 years of experience as a Flutter developer
- Strong knowledge of Dart, Firebase, and REST API
- Deep understanding of Rest / GraphQL / gRPC technologies
- Experience with architectural patterns (BLoC, Provider)
- Experience in publishing applications to App Store/Google Play

Preferred Skills:
- Experience with CI/CD and automated testing
- Cross-platform development experience
- Ability to develop web and desktop applications

Work Conditions:
- Official employment and competitive salary
- Work in a professional and dynamic team
- Comfortable and cozy office
- Work type: offline (in Samarkand) / remote is also considered
- Housing support (in Samarkand)

If you’re ready to join our team, please Apply through the link provided 👈",2024-11-14 07:40:19+00:00
IT Project Manager,Management,1-3 years,from 10000000 to 15000000 UZS,not specified,not specified,MED24,False,False,"#ITProjectManager
#PM

MED24 — крупнейшая в Узбекистане Digital Health платформа, объединяющая различные цифровые сервисы для здоровья.

Сервис начал свою работу в 2019 году. Мы помогли сотням тысяч людей подобрать и получить медицинские услуги,  а также найти и забронировать лекарственные препараты в аптеках.

В связи с активной фазой развития и расширением команды, мы ищем менеджера IT проектов.

Требования:
- Опыт успешного ведения IT, Web-проектов от 1 года;
- Умение четко и структурировано излагать свои мысли устно и письменно;
- Опыт написания технических задач и пользовательских историй;
- Знание функциональных обязанностей back-end, front-end, дизайнеров, верстальщиков;

Обязанности:
- Написание технического задания по требованиям Product Owner
- Декомпозиция и делегирование задач по ролям
- Risk management
- Руководство проектами по разработке/доработке и внедрению функционалов к Web сайтам
- Контроль хода работ по текущим проектам, анализ текущих результатов и подготовка промежуточных отчетов
- Планирование работ и ресурсов команды: составление четких, прозрачных планов и условий поставки релизов

Условия:
- Официальное оформление по ТК РУз, оплачиваемый отпуск.
- График работы, 5/2 с 9:00-18:00, готовы рассмотреть и график 08.00-17.00/ 10.00-19.00.
- Стабильная зарплата (10-15млн) с ростом + отдельные бонусы.

📩 @dreamteam_AtlasMedia 
📞 +998 97 463 12 17/ +998 99 866 16 76",2024-09-10 07:10:20+00:00
Data Engineer,DevOps,1-3 years,from 4000 to 4000 USD,not specified,"Big Data, Data Lake, CI/CD, Docker, Kubernetes, Ansible, Prometheus, Grafana, Elasticsearch, Python",Haas Platform,False,True,"#MLOps #вакансия 

Haas Platform

Международный центр разработки технологической платформы в поисках инженера платформы данных (ML Ops) DevOps Big Data. 
ЗП: от 4000$

Наша команда уже более 4-х лет развивает уникальную передовую технологию сбора и обработки информации о портретах и предпочтениях посетителей интернет ресурсов. Наши умные алгоритмы позволяют получать максимально релевантную и полезную информацию.
 
Статистика платформы:
- Более 15 миллиардов событий в сутки
- Более 45 000 активных каналов взаимодействия с пользователями ежедневно
- 70 + человек в команде

Чем предстоит заниматься:
-  Развертывать, обновлять и настроивать системное ПО в стеке Big Data (Data Lake, ML Platform, BI);
- Обеспечивать стабильную работу Data Lake, ML Platform и аналитических инструментов (BI);
- Настраивать ролевую модель доступа к Data Lake (Apache Ranger);
- Разрабатывать и поддерживать конвейер CI/CD;
- Интегрировать инструменты, обеспечивающие работу конвейера CI/CD;
- Вести DevOps-гайды в confluence.

Что мы ждем от кандидата:
- Опыт работы на аналогичной позиции не менее 2х лет;
- Опыт администрирования инфраструктуры linux/windows;
- Опыт разработки pipeline CI/CD (Teamcity/Jenkins/GitLab CI, Bitbucket, Nexus);
- Опыт администрирования средств контейнеризации: Docker, Kubernetes + helm chart;
- Опыт администрирования распределенных систем и веб-серверов, серверов приложений, серверов БД (PostgreSQL, Clickhouse,Redis, MS SQL Server);
- Опыт инсталляции и настройки инфраструктуры Big Data (Apache Hadoop&Yarn, Apache Spark, Apache Flink, Apache AirFlow, Jupyter Notebook);
- Опыт работы с системами автоматического развёртывания (Ansible или любой другой);
- Опыт работы с Prometheus/Grafana/Elasticsearch (ELK-EFK);
- Опыт работы с Graylog/Opensearch/Loki;
- Опыт работы с S3 (Minio, CEPH);
- Опыт работы с MLFlow/Kubeflow;
- Знание python на базовом уровне;
- Понимание принципов DevOps, цикла разработки, внедрения и сопровождения ПО (разработка, интеграция, тестирование, развертывание, мониторинг);
- Понимание принципов построения системных интеграций (ETL, kafka);
- Понимание микросервисной архитектуры и потоковой обработки данных;
- Понимание процессов сетевого взаимодействия и сетевого стека;
- Знание английского языка на техническом уровне;
- Опыт работы в Agile методологии (Scrum/Kanban).

Что предлагаем: 
- Сильная и сплоченная техническая команда;
- Двигаемся в сторону дата-ориентированной организации;
- Верим в факты, исследования и метрики, а не на слово;
- Держим фокус на ценностях для пользователя;
- Свобода действий и возможность напрямую влиять на развитие бизнеса;
- Релокация;
- Возможен гибридный формат работы;
- Официальное оформление;
- Развитие личного бренда на конференциях, митапах и внутренних событиях.

Резюме отправлять: @viktoria_kolina",2024-10-10 13:01:44+00:00
PHP Backend Developer,Backend,3 years >,from 800 to 2000 USD,Samarkand region,"Laravel, SQL, REST",Revolution Global,False,True,"#PHP #backend Developer

Revolution Global is hiring a Middle/Senior PHP backend developer!

Salary Offered: $800 - $2000

About the Company:
Revolution Global has been active in the fintech and e-commerce sectors for several years, delivering numerous successful projects.

Requirements:
- At least 4 years of experience in backend development;
- Excellent knowledge of PHP and Laravel;
- SQL – ability to construct and optimize database queries;
- Ability to design web application architecture;
- Strong understanding of relational databases, ability to optimize queries, and design data models;

Preferred Skills:
- Proficiency in the GO programming language is an advantage.
- Developing web applications of varying complexity;
- Creating REST APIs;
- Working with third-party APIs;
- Integrating solutions with other information systems of the company.

Work Conditions:
- Official employment and competitive salary
- Work in a professional and dynamic team
- Comfortable and cozy office
- Work type: offline (in Samarkand) / remote is also considered
- Housing support (in Samarkand)

If you’re ready to join our team, 
please Apply through the link provided 👈",2024-11-14 07:40:53+00:00
Project Manager,Management,3 years >,from 12000000 to 18000000 UZS,Tashkent city,"ClickUp, Jira",NDC,True,True,"#ProjectManager
В IT компанию NDC ищем проект менеджера

✅ Обязанности:
- Проводить переговоры с клиентами: уточнять требования, согласовывать детали и предлагать решения
- Разрабатывать технические задания для клиента
- Дробить проект на мелкие задачи!
- Ставить задачи исполнителям, следить за сроком и ресурсами;
- Презентация и сдача проект заказчику

✅ Требования:
- Опыт работы проект-менеджером в IT от 3 лет. Особенно в крупных проектах
- Понимание процессов разработки ПО!
- Умение грамотно общаться с клиентами и командой.
- Навыки планирования и управления задачами.
- Опыт работы c ClickUp / Jira
- Владение узбекским и русским языками (знание английского будет плюсом);
- Возраст: 23-30

✅Что предлагаем:
Формат работы: На штат. 6/1, с 10:00 до 19:00;
Адрес: г.Ташкент, ор-р Ганга.
Зарплата: 12 000 000 - 18 000 000 UZS; (Готовы платить больше в зависимости насколько вы решаете задачи бизнеса)
Оплачиваемый тестовый период — 15 дней.

🎯Резюме отправлять👇: 
https://forms.gle/HEKwcCnLQUFXEob6A",2024-12-05 09:58:57+00:00
