position,direction,experience,salary,location,skills,company,RU,ENG,text,date
1C Developer,Enterprise Software,1-3 years,from 5000000 to 5000000 UZS,not specified,not specified,Unical,False,False,"#1c
We are looking for an experienced 1C programmer at Unical!

Main requirements for a 1C programmer:

Knowledge of the 1C platform and configuration.
Experience with 1C software at least 1 year
Experience in accounting automation and programming based on standard and non-standard 1C configurations.
Experience in integrating 1C software with external programs.
Experience in drafting technical specifications and user instructions.
Experience in testing a 1C program and describing its errors.
Skills in research, analysis and description of business processes.
Knowledge of the basics of accounting and management accounting is also desirable.

Availability of 1C Certificate is welcome

We offer:
- Stable salary;
- Employment in accordance with the Labor Code of the Republic of Uzbekistan;
- Opportunity for professional growth and career development.
- Salary: determined based on the results of the interview (from 5 mln)

Contact @unical_hr


👉 Подписаться на канал @UzDev_Jobs",2024-04-01 06:03:39+00:00
1C Integrator,Enterprise Software,not specified,from 1000 to 2500 USD,Tashkent city,"SQL, MySQL, API",not specified,False,False,"#1c
Ищем 1C Интегратора с опытом работы в разработке ERP систем

Задачи:
Интеграция 1C с ERP-системами
Настройка обмена данными между 1C и другими приложениями
Разработка и поддержка модулей для 1C
Тестирование и оптимизация интеграционных решений
Обеспечение корректной работы и обновлений систем

Требования:
Глубокие знания платформы 1C и её конфигураций
Опыт интеграции 1C с внешними системами
Знание и опыт работы с базами данных (SQL, MySQL)
Умение писать сложные запросы и скрипты для автоматизации процессов
Опыт работы с веб-сервисами и API
Понимание бизнес-процессов и умение их автоматизировать с помощью 1C
Ответственность, внимание к деталям, умение работать в команде
Заработная плата: от $1000 до $2500

Условия:
Выезд к клиентам (Ташкент)
Гибкий график
Контакт: @web_agency007


👉 Подписаться на канал @UzDev_Jobs",2024-07-18 09:04:13+00:00
1C Developer,Enterprise Software,3 years >,from 1500 to 1500 USD,remote,"1C:Enterprise, 1C:Script",XT-XARID,False,False,"#1c
Электронная система государственных закупок XT-XARID  в поиске 
1С Программиста (Remote)

Обязанности
Разработка, модификация и оптимизация конфигураций 1С:Предприятие в соответствии с требованиями бизнеса;
Анализ бизнес-процессов и предоставление решений на основе 1С для их автоматизации;
Участие в разработке и внедрении новых функциональных возможностей системы 1С;
Поддержка и оптимизация существующих конфигураций;
Взаимодействие с другими отделами для выявления и учета их потребностей;
Обеспечение стабильной работы информационных систем 1С;
Участие в тестировании и внедрении обновлений и патчей 1С.

Требования
Опыт работы в разработке и настройке 1С:Предприятие не менее 3 лет;
Знание языка программирования 1C:Script;
Глубокое понимание бизнес-процессов и опыт их моделирования в 1С;
Знание конфигурации 1С:Управление торговлей и 1С:Управление предприятием будет значительным преимуществом;
Аналитическое мышление и способность решать сложные задачи.

Условия работы
Стабильный конкурентный доход, регулярно пересматриваемый с учетом результатов работы и рыночных условий;
Профессиональное развитие и карьерный рост через обучение, тренинги и возможность участвовать в проектах, которые способствуют расширению ваших навыков и компетенций;
Свободную и открытую атмосферу с развитой культурой обратной связи, где ваши идеи и мнение важны;
24 календарных дней ежегодного отпуска;
5 дневный рабочий график;
Возможность внести свой вклад в развитие инновационных продуктов и услуг.

Оклад - 1 500 уе

Резюме отправлять : 
+99877 150 03 05 ( телеграмм)
@hr_hayotbirja
 https://xt-xarid.uz/


👉 Подписаться на канал @UzDev_Jobs",2024-08-05 06:02:51+00:00
1C Developer,Enterprise Software,1-3 years,from 5000000 to 5000000 UZS,remote,"MSSQL, Python, SQL, Bitrix",not specified,False,False,"#1c #remote
1С разработчик (удаленка)

В строительную (производство) компанию ‘’ООО Когон’’ требуется 1с разработчик со стажем от 2х лет

Требование:
- внедрение оптимальных решений для разных задач
- доработка в конфигурации
- своевременное закрытие дедлайнов
- опыт работы с MSSQL
- обеспечение безошибочной работы системного программного обеспечения (ОС Windows, Windows Server, 1C ) и др.
- Обеспечение работоспособности и безопасности сети компании
- способность понимать чужой код и исправлять проблемные места
- отчеты руководству о проделанной работе
- администрирование и поддержка платформы

Приветствуется:
- умение пользоваться платформой Bitrix
- делать интеграции внутри 1с с внешними источниками
- владение языком Python, SQL
- стремление обучаться и развиваться 
- наличие готовых решений 

Предлагаем:
- своевременную зарплату
- удаленный рабочий график
- 6 часовой рабочий график (Пн-Пт согласовывается с начальством )
- Зарплата от 5 млн. 

Контакты:
- присылайте резюме в телеграм
- @davidPROO


👉 Подписаться на канал @UzDev_Jobs",2024-07-15 09:04:40+00:00
1C Developer,Enterprise Software,3 years >,from 5000000 to 8000000 UZS,remote,"MSSQL, Python, SQL, Bitrix",GRAND FILLER,False,False,"#1c #remote 
1c Программист Удалёнка

OOO GRAND FILLER

Требования:
- опыт работы: 3–6 лет
- частичная занятость, удаленная работа
- 5 - 6 часов в день (Пн-Пт)

Обязанности:
- внедрение оптимальных решений для разных задач
- доработка в конфигурации
- своевременное закрытие дедлайнов
- опыт работы с MSSQL
- обеспечение безошибочной работы системного программного обеспечения (ОС Windows, Windows Server, 1C ) и др.
- умение делать интеграцию в Телеграм Ботах
- Обеспечение работоспособности и безопасности сети компании
- способность понимать чужой код и исправлять проблемные места
- отчеты руководству о проделанной работе
- администрирование и поддержка платформы
- коммуникация, дисциплина, ответственность
- понимание бухгалтерских основ

Приветствуется:
- умение пользоваться платформой Bitrix
- делать интеграции внутри 1с с внешними источниками
- владение языком Python, SQL
- стремление обучаться и развиваться
- наличие готовых решений

Предлагаем:
- своевременную зарплату
- удаленный рабочий график
- 6 часовой рабочий график (Пн-Пт согласовывается с начальством )
- 5.000.000 - 8.000.000  на руки

Резюме отправить сюда: @davidPROO


👉 Подписаться на канал @UzDev_Jobs",2024-08-05 09:03:28+00:00
AWS Consultant,Other,not specified,from 2000 to 2000 USD,remote,"AWS, ECS, Lambda, Cloudwatch, RDS PostgreSQL, EC2, CDK, API Gateway, nodeJS, TypeScript, Java, Kotlin, Talend",not specified,False,True,"#AWS
We are looking for

2-3 AWS Consultants (f/m/d) - 100% remote project - February 2024


Tasks:
- Consulting and support AWS services
- Willingness to be part of on-call team and take on-call-duties for 24/7 (from time to time)

Skills:
- Project Knowhow - ITIL Proces Icident and problem management
- Support and Strong AWS project experience
- Longterm experience with AWS ECS, Lambda, Cloudwatch, RDS PostgtesSQL, EC2
- Experience with CDK and API Gateway
- Knowledge in one of the following skills: nodeJS, TS, Java/Kotlin would be a plus
- Knowledg of Talend cloud skills for ETL, Identification of Dataobjects, Assignment of Talend Jobs woud be a plus


Language: English
Start: February 2024
Duration: 6 Months + Option
Utilization: 5 days/week
Location: remote
Salary: up to $2000

Send resumes to: @itdevaustria


👉 Подписаться на канал @UzDev_Jobs",2024-01-16 10:03:08+00:00
CTO,Management,3 years >,from 2000 to 2000 USD,not specified,not specified,FOM Group,True,False,"#CTO
FOM Group – ключевой игрок на фармацевтическом рынке Узбекистана. Наши инновационные IT-решения обеспечивают автоматизацию более 90% аптек страны и объединяют всех участников фарм-ритейла – от покупателей до дистрибьютеров.

CTO

Функционал:
— Разработка и реализация стратегии технологического развития компании. 
— Управление IT-направлением, включая контроль за выбором платформ, технологий и инструментов. 
— Содействие в инновационных исследованиях и разработке новых продуктов. 
— Разработка и внедрение внутренних процессов работы программистов и специалистов технического сопровождения, включая определение методик, разработку необходимых инструкций и дальнейший мониторинг их выполнения. 
— Принятие управленческих решений об IT-архитектуре, структуре баз данных, повторном использовании программных модулей и функций, стеке технологий. 
— Взаимодействие с другими отделами для интеграции технологий в общие бизнес-процессы. 
— Контроль за постоянным обновлением знаний компании в области технологий. 
— Контроль процессов R&D. 
— Расчет и обоснование ресурсов необходимых для разработки и дальнейшего технического сопровождения продуктов. 
— Привлечение, ведение переговоров, последующий контроль персонала привлекаемого на временной основе (фриланс, разовые работы, аутстаф).

Требования:
— Русский язык - свободный.
— Опыт в IT сфере не менее 5 лет. 
— Опыт в формировании, управлении командами IT-разработки не менее 3 лет. 
— Опыт по работе с b2b2c направлениями.
— Высокая стрессоустойчивость, коммуникабельность и адаптивность.

Условия:
— Заработная плата от 2,000$ на руки.
— График 5/2, с 10:00 до 19:00.
— Офис (Юнусабадский район, ул. Ш.Рашидова, 93А).
— Обед за счет компании.

Резюме сюда - @vm_hrbg

Присоединяйтесь к нашей команде, чтобы быть частью инновационных решений в мире фармацевтики и способствовать развитию всей отрасли! 


👉 Подписаться на канал @UzDev_Jobs",2024-01-18 09:03:40+00:00
CTO,Management,3 years >,from 2500 to 2500 USD,not specified,not specified,FOM Group,True,False,"#CTO #lead 
FOM Group – ключевой игрок на фармацевтическом рынке Узбекистана. 

CTO

Функционал:
— Разработка и реализация стратегии технологического развития компании. 
— Управление IT-направлением, включая контроль за выбором платформ, технологий и инструментов. 
— Разработка и внедрение внутренних процессов работы программистов и специалистов технического сопровождения.
— Принятие управленческих решений об IT-архитектуре, структуре баз данных, повторном использовании программных модулей и функций, стеке технологий. 
— Контроль процессов R&D. 
— Расчет и обоснование ресурсов необходимых для разработки и дальнейшего технического сопровождения продуктов. 

Требования:
— Русский язык - свободный.
— Опыт в формировании, управлении командами IT-разработки от 3х лет. 
— Опыт в IT сфере не менее 5 лет. 
— Опыт работы с b2b2c направлениями.

Условия:
— Заработная плата от 2,500$ на руки.
— График 5/2, с 10:00 до 19:00.
— Офис (Юнусабадский район, ул. Ш.Рашидова, 93А).
— Обед за счет компании.

Резюме сюда - @vm_hrbg

Присоединяйтесь к нашей команде, чтобы быть частью инновационных решений в мире фармацевтики и способствовать развитию всей отрасли!


👉 Подписаться на канал @UzDev_Jobs",2024-02-26 10:23:19+00:00
DevOps Engineer,DevOps,1-3 years,from 10000000 to 10000000 UZS,not specified,"Docker, Kubernetes, Nginx, GitLab, ArgoCD, Grafana, Loki, Prometheus, Maven, Bash, Python",TengeBank,True,True,"#DevOps
Junior/Middle DevOps Инженер

Компания: TengeBank

Описание вакансии:
Мы ищем энергичного и целеустремленного Junior/Middle DevOps Инженера, который готов присоединиться к нашей команде. Если вы обладаете необходимыми знаниями и хотите развиваться в сфере DevOps, эта вакансия для вас!

Обязанности:
- Настройка и управление контейнеризацией приложений с использованием Docker
- Развертывание и управление кластером Kubernetes
- Автоматизация процессов CI/CD с использованием GitLab
- Настройка и оптимизация веб-серверов Nginx
- Работа с инструментом ArgoCD для управления процессами доставки приложений
- Мониторинг и обеспечение высокого уровня производительности и доступности инфраструктуры
- Настройка и использование систем мониторинга и логирования Grafana, Loki и Prometheus
- Участие в проектировании и реализации новых решений для повышения эффективности DevOps процессов

Требования:
- Опыт работы с Docker и Kubernetes
- Знание GitLab и опыт автоматизации CI/CD процессов
- Опыт работы с веб-серверами Nginx
- Знание и опыт работы с ArgoCD
- Понимание принципов DevOps и культуры автоматизации
- Опыт работы с инструментами сборки Maven (или Gradle), пллюсом будет опыт работы с npm
- Базовые навыки работы с скриптовыми языками (например, Bash, Python)
- Хорошие коммуникативные навыки и умение работать в команде
- Уверенное владение русским языком
- Владение английским языком на уровне, достаточном для чтения технической документации

Условия:
- График работы 5/2.
- Трудоустройство согласно законодательству РУз
- Возможности для профессионального роста и развития
- Заработная плата определяется по результатам собеседования (от 10 000 000 Сум для Junior, от 16 500 000 для Middle)

Если вы хотите присоединиться к нашей команде, отправьте своё резюме на электронный адрес: e.kotov@tengebank.uz или telegram: @k_eugene.

Мы с нетерпением ждем вашего отклика!


👉 Подписаться на канал @UzDev_Jobs",2024-07-29 10:05:10+00:00
Oracle DBA,Other,3 years >,from 20000000 to 25000000 UZS,not specified,"Oracle, SQL, PL/SQL, Oracle RAC, Data Guard, RMAN, Linux, Unix",TengeBank,False,True,"#Oracle #SQL
Middle Oracle DBA
Компания: TengeBank

Описание вакансии:
Мы ищем опытного и ответственного Middle Oracle DBA, который присоединится к нашей команде.

Обязанности:
- Администрирование и поддержка баз данных Oracle
- Установка, настройка и обновление серверов баз данных Oracle
- Мониторинг производительности баз данных и обеспечение их оптимизации
- Резервное копирование и восстановление баз данных
- Управление безопасностью баз данных и контроль доступа
- Разработка и выполнение скриптов для автоматизации рутинных задач
- Решение инцидентов и проблем, связанных с базами данных
- Взаимодействие с командами разработки и эксплуатации для обеспечения стабильной работы приложений

Требования:
- Опыт работы на аналогичной позиции от 3 лет
- Глубокие знания Oracle Database и опыт администрирования
- Опыт работы с Oracle RAC, Data Guard, RMAN
- Знание SQL и PL/SQL
- Опыт мониторинга и оптимизации производительности баз данных
- Опыт резервного копирования и восстановления данных
- Знание операционных систем Linux/Unix
- Хорошие аналитические способности и внимание к деталям
- Умение работать в команде и хорошие коммуникативные навыки
- Владение английским языком на уровне чтения технической документации

Плюсом будет:
- Опыт работы с другими СУБД (например, PostgreSQL)
- Опыт работы с инструментами мониторинга и управления базами данных (например, Oracle Enterprise Manager)

Условия:
- График работы 5/2.
- Трудоустройство согласно законодательству РУз
- Возможности для профессионального роста и развития
- Заработная плата определяется по результатам собеседования (20-25 мил. Сум)

Если вы хотите присоединиться к нашей команде, отправьте своё резюме на электронный адрес: e.kotov@tengebank.uz или telegram: @k_eugene.

Мы с нетерпением ждем вашего отклика!


👉 Подписаться на канал @UzDev_Jobs",2024-07-29 07:54:29+00:00
